type,ticker,file,size_kb,mtime
prices,AAPL,AAPL_1d.parquet,66.6,2026-05-29T20:22:33.741838
prices,AESI,AESI_1d.parquet,42.7,2026-05-29T20:22:37.611325
prices,AMZN,AMZN_1d.parquet,57.6,2026-05-29T20:22:35.141386
prices,BEAM,BEAM_1d.parquet,53.9,2026-05-29T20:22:42.922532
prices,BLDP,BLDP_1d.parquet,44.5,2026-05-29T20:22:41.401639
prices,CRM,CRM_1d.parquet,65.9,2026-05-29T20:22:39.545867
prices,DELL,DELL_1d.parquet,66.1,2026-05-29T20:22:39.035530
prices,DNN,DNN_1d.parquet,34.1,2026-05-29T20:22:38.351794
prices,FXY,FXY_1d.parquet,47.9,2026-05-29T20:22:44.736930
prices,GLD,GLD_1d.parquet,56.4,2026-05-29T20:22:43.214342
prices,GOOGL,GOOGL_1d.parquet,66.3,2026-05-29T20:22:34.847493
prices,LMT,LMT_1d.parquet,65.4,2026-05-29T20:22:36.101645
prices,LULU,LULU_1d.parquet,56.5,2026-05-29T20:22:40.653401
prices,META,META_1d.parquet,66.4,2026-05-29T20:22:34.490870
prices,MSFT,MSFT_1d.parquet,66.4,2026-05-29T20:22:34.139611
prices,NEM,NEM_1d.parquet,65.9,2026-05-29T20:22:38.056734
prices,NKE,NKE_1d.parquet,66.0,2026-05-29T20:22:40.306539
prices,NOC,NOC_1d.parquet,65.3,2026-05-29T20:22:36.512146
prices,NOW,NOW_1d.parquet,57.3,2026-05-29T20:22:39.911907
prices,NTLA,NTLA_1d.parquet,55.4,2026-05-29T20:22:42.462437
prices,NVAX,NVAX_1d.parquet,50.1,2026-05-29T20:22:41.011842
prices,NVDA,NVDA_1d.parquet,67.0,2026-05-29T20:22:33.337765
prices,ORCL,ORCL_1d.parquet,66.1,2026-05-29T20:22:38.670448
prices,ROKU,ROKU_1d.parquet,56.4,2026-05-29T20:22:42.107792
prices,RTX,RTX_1d.parquet,65.7,2026-05-29T20:22:36.951677
prices,SH,SH_1d.parquet,64.2,2026-05-29T20:22:44.347376
prices,TLT,TLT_1d.parquet,67.4,2026-05-29T20:22:43.635334
prices,TSLA,TSLA_1d.parquet,58.1,2026-05-29T20:22:35.627632
prices,UEC,UEC_1d.parquet,44.2,2026-05-29T20:22:37.317782
prices,VXX,VXX_1d.parquet,56.5,2026-05-29T20:22:43.980536
prices,YCS,YCS_1d.parquet,51.5,2026-05-29T20:22:45.268894
prices,ZM,ZM_1d.parquet,55.1,2026-05-29T20:22:41.753322
info,AAPL,AAPL.json,10.1,2026-05-29T20:22:34.018842
info,AESI,AESI.json,8.9,2026-05-29T20:22:37.859606
info,AMZN,AMZN.json,9.6,2026-05-29T20:22:35.452892
info,BEAM,BEAM.json,9.0,2026-05-29T20:22:43.118119
info,BLDP,BLDP.json,8.5,2026-05-29T20:22:41.602417
info,CRM,CRM.json,10.6,2026-05-29T20:22:39.751702
info,DELL,DELL.json,9.9,2026-05-29T20:22:39.348926
info,DNN,DNN.json,7.8,2026-05-29T20:22:38.557395
info,FXY,FXY.json,3.3,2026-05-29T20:22:44.935996
info,GLD,GLD.json,3.6,2026-05-29T20:22:43.416976
info,GOOGL,GOOGL.json,9.7,2026-05-29T20:22:35.045791
info,LMT,LMT.json,10.3,2026-05-29T20:22:36.311044
info,LULU,LULU.json,8.8,2026-05-29T20:22:40.864647
info,META,META.json,10.4,2026-05-29T20:22:34.688774
info,MSFT,MSFT.json,10.2,2026-05-29T20:22:34.340441
info,NEM,NEM.json,8.8,2026-05-29T20:22:38.261471
info,NKE,NKE.json,9.8,2026-05-29T20:22:40.510551
info,NOC,NOC.json,10.5,2026-05-29T20:22:36.718410
info,NOW,NOW.json,9.5,2026-05-29T20:22:40.110827
info,NTLA,NTLA.json,9.7,2026-05-29T20:22:42.774131
info,NVAX,NVAX.json,8.5,2026-05-29T20:22:41.223937
info,NVDA,NVDA.json,10.1,2026-05-29T20:22:33.546579
info,ORCL,ORCL.json,10.3,2026-05-29T20:22:38.873722
info,ROKU,ROKU.json,8.5,2026-05-29T20:22:42.309688
info,RTX,RTX.json,10.4,2026-05-29T20:22:37.170474
info,SH,SH.json,3.5,2026-05-29T20:22:44.553628
info,TLT,TLT.json,3.7,2026-05-29T20:22:43.834864
info,TSLA,TSLA.json,9.7,2026-05-29T20:22:35.827798
info,UEC,UEC.json,7.9,2026-05-29T20:22:37.519598
info,VXX,VXX.json,3.6,2026-05-29T20:22:44.173085
info,YCS,YCS.json,3.3,2026-05-29T20:22:45.468480
info,ZM,ZM.json,9.6,2026-05-29T20:22:41.954584
