x_rHTNULm3g	1491.0	0529財富指揮官
Ur83pHQCvLE	1413.0	0528 財富指揮官
ZxCVOik7FwY	1406.0	0527 財富指揮官
7uFlXnY-1IM	1395.0	0526 財富指揮官
ItOM1ZBCf1I	597.0	5/23週六美股報報：￼￼道瓊上漲真的會降息嗎？比特幣小泊低點。
lpQm7nWDYWI	1391.0	0522財富指揮官
LUK7MiAluGo	454.0	第一手報告：玻璃基板的未來
iMgRcxz2SPw	1371.0	0520 財富指揮官
3VPU2a6XmBM	1387.0	0519 財富指揮官
pPSEK37pJSw	801.0	0518財富指揮官
MrlXXK5ezA8	1393.0	0515 財富指揮官
bCZ2vXYxj9U	1399.0	0514 財富指揮官
yrEqAZ1YUck	1384.0	0513 財富指揮官
rGguSwQiLvo	236.0	5/13關鍵時刻今天開始ETF可能都不值得買？￼趕快全力賣出吧。
fyxpKadwBwE	1414.0	0512 財富指揮官
8Y5lVT-TvlY	1379.0	0511財富指揮官
sdjNyCpD5tc	546.0	5/8母親節專題：費半創高？￼英特爾為何會大漲？￼還會演出什麼樣的股票呢？
-F1JIomDeqQ	1425.0	0508 財富指揮官
Zx3Qx_Ak0ag	1410.0	0506 財富指揮官
ozMoLFJOSDs	374.0	5/6台積電2330以後還會不會再漲？
YHduedQaHyA	1401.0	0505 財富指揮官 全新飆股大題材-量子國家隊
1uFxqrsbqwI	1401.0	0504財富指揮官 #聯發科 外資調升目標5000元!? 真的可以力抗 #輝達 GPU 以下克上嗎?
oGPF6HBuovc	1423.0	0430 財富指標官
ggqHxBrkw_0	199.0	4/30瘋狂追求00981 A結果秘密就這樣子而已？
HVuIBA0j4VA	1387.0	0429財富指揮官
2qwGPOPHP78	1388.0	0427 財富指揮官
w-YKlrpnKIs	1229.0	4/24週報-本週精華：聯發科、IC設計還會大漲！！？
FA7V1trsjxs	1408.0	0424 財富指揮官
7MU2gq1OE3M	1363.0	0423財富指揮官
l-MhWNPL4Bw	1390.0	0422 財富指揮官
B1Xfv65FVkA	1384.0	0421 財富指揮官
_RYwy0u503I	1379.0	0420財富指揮官
F8oglFwE47I	1252.0	0417 直播面對面(今天來點真心話)
RiEWhynmM7w	163.0	2026年4月16日
47t_YG5jDeA	1408.0	0416 財富指揮官
jCFaVi3FBDg	1384.0	0415 財富指揮官
V4hHMCjs2cQ	1380.0	0414 財富指揮官
eUyQEioGp94	1383.0	0413 財富指揮官
OjP0xlw48kk	783.0	4/11美股￼有漲有跌，對嗎？
-JTJBlc7JeM	1540.0	0410 財富指揮官
CQwkCvI70JE	1378.0	0409 財富指揮官
77XEHI0EeUo	278.0	4/9盤前分析
HZjecoZh6lo	1383.0	0408 財富指揮官
rvAk88n8dR4	1567.0	0407 財富指揮官
50jrTC3ANsw	1407.0	4/3週六美股小漲跌透露些什麼訊號？
4bzrf4mNwLo	1418.0	0402 財富指揮官
4p2ehlRw7RY	71.0	4/2川普9點要講什麼？
O4zMMHlFUTg	1492.0	0401 財富指揮官
43K9vXIfJ0o	1386.0	0331 財富指揮官
2JfO2-JtppU	1375.0	0330 財富指揮官
KdwfmnGve3s	1201.0	3/28￼美國股市果然大跌！￼聽到最後老師給你個彩蛋
j7wrbBfeMNo	1373.0	0327財富指揮官
Runiubkso1s	931.0	0326 #南亞科 同一月喊出三大利多，必須大買!??
jv9_WKEgWt0	1393.0	0326 財富指揮官 #南亞科
u9TislIKdLw	1527.0	0325 財富指揮官
t9rOjMJGKfk	1384.0	0324 財富指揮官
rj88--FLJyU	66.0	0324 空方快錢要賺，9個最重要的秘訣 #南亞科 #瑞儀
52n0lR5iFEY	1384.0	0323 財富指揮官
KqEBaZwKsBM	137.0	0323 一日一股 #台積電 真的沒有問題嗎?
KMzIBlYwcyY	979.0	￼3/21美股大跌，矽光子記憶體倒一片兒子打棒球 ￼￼ ＂前晚提前錄影
QoG1tABp1Lg	1383.0	0320 財富指揮官
fJjzMjAiXlM	148.0	0320 融資創歷史新高，金融海嘯再現!?
MiLUXssdxGE	1407.0	0319財富指揮官
YDnwSrDqmJo	98.0	0319 開盤即刻反轉K線，昨日衝沙灘搶救大兵!?
dTPDmbC3JQI	1531.0	0318 財富指揮官
U3w9bAA93Cs	136.0	0318 股王 #信驊 再次拉高，投信無腦，成最佳送分題?
h2ojX1JdQoc	1364.0	0317 財富指揮官
egqCHZ5yckU	1368.0	0316財富指揮官
HXSw7x7cAaA	98.0	0316 記憶體正式強勢轉強，追? 不追?
KtoQBdb5ZAM	1464.0	0313財富指揮官
TfeLaangXsA	190.0	3/13 ETF重要的轉折日
FV6FObwAeVU	175.0	2026年3月12日外資大賣711億
PH1UxKm03-s	1255.0	0312財富指揮官 :昨日市場喊V轉，只有我說騙線「踢馬腳」 #台積電 #
gkSFN7MWSGY	1396.0	0311 財富指揮官:誘多? 實多? 日韓只留上影線
Xzh34Il3XxE	59.0	3/9 大盤已跌4000點，還有最大誘多在哪裡?
3rsBvnApDWU	1387.0	0309財富指揮官: 唯一對，避險4千點，下一個"誘多"產業 #南亞科 #福懋科 #00632r
Q-Wj3XU8tw4	610.0	3/7美股大跌，￼台指期盤後下殺千點．．￼ 2月25號我還會有朋友做好反向避險之後你就可以知道了，那時候候我說三個缺口
wxVTWyceasw	1395.0	0306 財富指揮官: 本週 #元晶 #兆赫 #聯合再生 ，歡呼高出，下一檔「底部進場」
vg9cKRwAAvI	110.0	3/6 分辨真新聞還是"時事"新聞，今天這集你一定要聽 #台積電 #超微 #蘇姿丰
jhBAyF2lkVw	528.0	3/6台積電零股抱住！穩嬴？真的嗎？
Gpo8aN48MJY	1362.0	0305財富指揮官 : #超微 喊盤，上漲量縮，趨勢未變。 #兆赫 #元晶 #聯合再生 ，開心收官
u8AyWd-YXxs	1356.0	0304財富指揮官
e7YwIa0DBIM	68.0	3/4 川普不TACO，這次跌2700點真的不一樣嗎? #聯合再生 #元晶 #兆赫
AO5FH5ku7JU	212.0	3/3 記憶體大團滅，所以這個訊號早就告訴你 #華邦電 #南亞科 #晶豪科
